지역번호,지역명,일시,일조합(hr),일사합(MJ/m2)
0,전국,08-Oct,196.3,381.83
0,전국,08-Sep,168.2,441.58
0,전국,08-Aug,197.2,545.11
0,전국,08-Jul,136.9,483.11
0,전국,08-Jun,140.2,506.51
0,전국,08-May,215.9,610.96
0,전국,08-Apr,204.9,535.01
0,전국,08-Mar,193.2,444.49
0,전국,08-Feb,218.5,381.12
0,전국,08-Jan,151.4,249.47
0,전국,07-Dec,140.7,217.65
0,전국,07-Nov,191.5,299.46
0,전국,07-Oct,175.8,376.88
0,전국,07-Sep,95.2,315.93
0,전국,07-Aug,146.8,451.15
0,전국,07-Jul,112.3,439.41
0,전국,07-Jun,164,528.11
0,전국,07-May,223.1,605.84
0,전국,07-Apr,204.8,528.55
0,전국,07-Mar,167.4,394.88
0,전국,07-Feb,180.4,324.52
0,전국,07-Jan,167.1,264.15
0,전국,06-Dec,164.4,233.79
0,전국,06-Nov,146.7,255.59
0,전국,06-Oct,202.7,396.55
0,전국,06-Sep,171.4,444.3
0,전국,06-Aug,204.9,551.4
0,전국,06-Jul,64.2,327.01
0,전국,06-Jun,172.1,535.22
0,전국,06-May,180.3,544.28
0,전국,06-Apr,156.6,448.18
0,전국,06-Mar,217.7,483.36
0,전국,06-Feb,163,317.06
0,전국,06-Jan,153.2,253.5
0,전국,05-Dec,191.9,272.75
0,전국,05-Nov,196.3,301.75
0,전국,05-Oct,184.9,376.09
0,전국,05-Sep,127.9,376.04
0,전국,05-Aug,149.3,451.97
0,전국,05-Jul,134.7,467.23
0,전국,05-Jun,179.2,543.71
0,전국,05-May,248.3,648.39
0,전국,05-Apr,226.9,564.57
0,전국,05-Mar,227.5,500.18
0,전국,05-Feb,163.3,322.87
0,전국,05-Jan,188.2,291.86
0,전국,04-Dec,182.8,255.13
0,전국,04-Nov,182.7,274.37
0,전국,04-Oct,225.8,429.43
0,전국,04-Sep,143.5,396.23
0,전국,04-Aug,168.3,484.24
0,전국,04-Jul,146.3,442.98
0,전국,04-Jun,175.9,513.71
0,전국,04-May,179.6,518.82
0,전국,04-Apr,225.8,544.07
0,전국,04-Mar,222.4,489.11
0,전국,04-Feb,203.7,356.79
0,전국,04-Jan,190.9,284.67
0,전국,03-Dec,178.5,246.34
0,전국,03-Nov,127.2,223.17
0,전국,03-Oct,220.3,405.96
0,전국,03-Sep,140.4,375.04
0,전국,03-Aug,113.8,386.74
0,전국,03-Jul,89.7,380.99
0,전국,03-Jun,150.3,467.81
0,전국,03-May,196,562.68
0,전국,03-Apr,172.3,457.07
0,전국,03-Mar,164.7,416.44
0,전국,03-Feb,141.5,297
0,전국,03-Jan,163.6,275.02
0,전국,02-Dec,139.4,233.3
0,전국,02-Nov,173.4,290.76
0,전국,02-Oct,191,386.77
0,전국,02-Sep,171.3,427.14
0,전국,02-Aug,94.6,343.93
0,전국,02-Jul,134.9,457.9
0,전국,02-Jun,218,581.73
0,전국,02-May,190.6,542.03
0,전국,02-Apr,202.4,512.1
0,전국,02-Mar,192.2,455.85
0,전국,02-Feb,177.9,336.75
0,전국,02-Jan,152.6,256.5
0,전국,01-Dec,171.2,261.01
0,전국,01-Nov,182.3,291.31
0,전국,01-Oct,154.5,338.42
0,전국,01-Sep,198.5,471.76
0,전국,01-Aug,198.1,527.16
0,전국,01-Jul,169.2,490.08
0,전국,01-Jun,136.2,447.74
0,전국,01-May,205.1,584.64
0,전국,01-Apr,232.1,568.66
0,전국,01-Mar,201.9,456.42
0,전국,01-Feb,156.1,303.83
0,전국,01-Jan,147.7,252.36
0,전국,Dec-00,181.6,251.46
0,전국,Nov-00,154.3,256.29
0,전국,Oct-00,166.8,339.91
0,전국,Sep-00,139,353.12
0,전국,Aug-00,160.5,433.28
0,전국,Jul-00,171.2,507.04
0,전국,Jun-00,166.7,512.6
0,전국,May-00,191.8,546.67
0,전국,Apr-00,202.9,515.2
0,전국,Mar-00,214.5,459.56
0,전국,Feb-00,203.5,337.11
0,전국,Jan-00,144.1,177.17
0,전국,Dec-99,181.8,227.29
0,전국,Nov-99,174,254.3
0,전국,Oct-99,167.5,316.64
0,전국,Sep-99,148.5,354.26
0,전국,Aug-99,153.2,418.84
0,전국,Jul-99,142.1,442.93
0,전국,Jun-99,209.9,533.92
0,전국,May-99,262.2,580.24
0,전국,Apr-99,229.2,486.16
0,전국,Mar-99,174.7,367.25
0,전국,Feb-99,186.6,297.62
0,전국,Jan-99,195.1,254.83
0,전국,Dec-98,193.4,235.72
0,전국,Nov-98,187.6,262.97
0,전국,Oct-98,183.4,340.69
0,전국,Sep-98,177.9,382.11
0,전국,Aug-98,133,373.05
0,전국,Jul-98,124.8,391.45
0,전국,Jun-98,135,404.17
0,전국,May-98,206.6,495.04
0,전국,Apr-98,163.9,401.21
