지역번호,지역명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속지점,최대순간풍속(m/s),최대순간풍속지점
0,전국, 2014-05,2.3,22.3,흑산도,32.1,흑산도
0,전국, 2014-04,2.1,22.7,고산,28.2,고산
0,전국, 2014-03,2.2,24.2,고산,30.7,고산
0,전국, 2014-02,2,20.5,고산,29.7,고산
0,전국, 2014-01,1.9,22.3,고산,29.9,고산
0,전국, 2013-12,2.1,24.6,고산,30.2,고산
0,전국, 2013-11,2.2,25.3,고산,33.6,고산
0,전국, 2013-10,1.8,22.4,고산,30.3,고산
0,전국, 2013-09,1.6,13.8,고산,19.9,고산
0,전국, 2013-08,1.8,18.5,백령도,26.3,백령도
0,전국, 2013-07,2.2,19.9,백령도,26.6,백령도
0,전국, 2013-06,1.7,14.6,고산,19.2,정선군
0,전국, 2013-05,2.1,19.3,백령도,27.1,백령도
0,전국, 2013-04,2.7,24.2,고산,31.5,고산
0,전국, 2013-03,2.4,22.6,고산,28.6,통영
0,전국, 2013-02,2.2,19.2,고산,26.4,통영
0,전국, 2013-01,2,18.2,고산,24.3,울릉도
0,전국, 2012-12,2.2,21.8,고산,26.5,고산
0,전국, 2012-11,2.2,19.6,고산,32.2,백령도
0,전국, 2012-10,1.7,17.8,고산,23.2,대관령
0,전국, 2012-09,1.8,29.3,고산,39.4,통영
0,전국, 2012-08,2.2,36.3,완도,51.8,완도
0,전국, 2012-07,1.9,22.1,완도,30,완도
0,전국, 2012-06,2,13,"흑산도,진도(첨찰산)",19.2,"서울,흑산도"
0,전국, 2012-05,1.9,15.5,울릉도,25.9,인천
0,전국, 2012-04,2.6,24.3,고산,31.1,고산
0,전국, 2012-03,2.6,19.5,고산,27.2,여수
0,전국, 2012-02,2.3,21.5,고산,27.1,고산
0,전국, 2012-01,2.1,19.3,고산,26.9,고산
0,전국, 2011-12,2.2,21.1,고산,26.5,고산
0,전국, 2011-11,1.9,20.1,고산,25.6,고산
0,전국, 2011-10,1.6,19.6,고산,26.7,고산
0,전국, 2011-09,1.9,16.1,울릉도,27.2,울릉도
0,전국, 2011-08,1.8,29.1,흑산도,42.4,흑산도
0,전국, 2011-07,1.9,17.2,울릉도,24.8,울릉도
0,전국, 2011-06,2.1,26,흑산도,34.8,흑산도
0,전국, 2011-05,2.2,15.9,백령도,28.9,정선군
0,전국, 2011-04,2.5,21.6,울릉도,30.9,울릉도
0,전국, 2011-03,2.7,20.7,고산,25.4,고산
0,전국, 2011-02,1.8,27.2,고산,32.2,고산
0,전국, 2011-01,2.5,25.3,고산,33.9,고산
0,전국, 2010-12,2.5,29.1,고산,37.7,고산
0,전국, 2010-11,2,24.5,고산,29.6,고산
0,전국, 2010-10,1.7,25.7,고산,31.1,고산
0,전국, 2010-09,1.8,35.5,흑산도,45.4,흑산도
0,전국, 2010-08,1.8,20.9,고산,33.4,통영
0,전국, 2010-07,1.9,16.9,백령도,22.4,완도
0,전국, 2010-06,1.7,12.8,백령도,20.7,고산
0,전국, 2010-05,2.2,15.8,울릉도,25.2,울릉도
0,전국, 2010-04,2.5,24.5,고산,28.6,고산
0,전국, 2010-03,2.6,28.4,고산,34.8,고산
0,전국, 2010-02,2.1,21.3,고산,28.1,흑산도
0,전국, 2010-01,2.3,27.8,고산,34.2,고산
0,전국, 2009-12,2.3,24.7,고산,30.5,고산
0,전국, 2009-11,2.2,27,고산,33.6,고산
