시점,월별,소계,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,소계,디프테리아,백일해,파상풍,홍역,유행성이하선염,풍진,폴리오,B형간염(급성),B형간염(산모),B형간염(주산기),일본뇌염,수두,b형헤모필루스인플루엔자,폐렴구균,소계,말라리아,성홍열,수막구균성수막염,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,탄저,공수병,신증후군출혈열,매독(1기),매독(2기),매독(선천성),크로이츠펠트-야콥병(CJD),결핵,한센병,후천성면역결핍증,C형간염,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균속균종(CRE) 감염증,소계,페스트,황열,뎅기열,바이러스성출혈열,두창,보툴리눔독소증,중증급성호흡기증후군(SARS),동물인플루엔자 인체감염증,신종인플루엔자,야토병,큐열,웨스트나일열,신종감염병증후군,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군,중동호흡기증후군,지카바이러스감염증,리슈마니아증,바베시아증,크립토스포리디움증,주혈흡충증
2002,4월,172,0,21,69,82,0,-,125,0,2,0,7,113,3,0,-,-,-,0,-,-,-,-,34,5,6,0,0,0,0,1,1,0,0,0,6,-,-,-,-,"3,074",4,-,-,-,-,0,0,0,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2002,5월,74,1,24,13,36,0,-,134,0,0,0,8,114,12,0,-,-,-,0,-,-,-,-,102,5,4,0,0,0,2,7,1,0,0,0,11,-,-,-,-,"3,239",2,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2002,6월,39,0,19,6,13,1,-,138,0,4,1,5,127,1,0,-,-,-,0,-,-,-,-,192,1,0,0,2,0,0,7,0,0,0,1,13,-,-,-,-,"2,561",1,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2002,7월,40,2,19,7,11,1,-,102,0,1,0,4,95,2,0,-,-,-,0,-,-,-,-,407,5,0,0,3,0,0,3,2,0,0,0,11,-,-,-,-,"2,705",4,-,-,-,-,0,0,0,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2002,8월,32,0,18,5,8,1,-,60,0,0,0,3,57,0,0,-,-,-,0,-,-,-,-,561,1,1,0,16,0,1,5,2,0,0,0,6,-,-,-,-,"2,992",9,-,-,-,-,2,0,0,2,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2002,9월,25,0,10,3,9,3,-,54,0,2,1,4,45,1,0,-,-,-,1,-,-,-,-,297,2,0,0,29,0,0,22,16,0,0,0,13,-,-,-,-,"2,590",6,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2002,10월,15,0,9,1,4,1,-,64,0,5,0,8,47,0,0,-,-,-,4,-,-,-,-,145,3,1,0,8,0,1,962,56,1,0,0,84,-,-,-,-,"2,479",8,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2002,11월,23,0,7,3,12,1,-,52,0,2,0,1,47,1,0,-,-,-,1,-,-,-,-,36,6,3,0,2,0,2,843,37,0,0,0,121,-,-,-,-,"2,346",7,-,-,-,-,1,0,0,1,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
2002,12월,211,0,12,5,194,0,-,34,0,1,1,3,28,1,0,-,-,-,0,-,-,-,-,5,5,8,1,0,0,1,57,5,0,0,0,45,-,-,-,-,"2,069",3,-,-,-,-,1,0,0,0,-,0,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,1,0,0,0
2003,계,"1,457",1,199,88,"1,117",52,-,"1,573",0,5,8,33,"1,518",8,0,-,-,-,1,-,-,-,"34,613","1,171",107,38,3,80,0,9,"1,415",119,16,0,2,392,-,-,-,-,"30,687",41,533,-,-,-,17,0,0,14,-,0,3,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0
